Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,04,237000,013,0242,52930 ,00000 ,12820 ,429,38060, , ,852534328  ,4,8,12,Paradise Valley town,81,81,120545695,0,0,0,0,0,0,0,0,0,81,81,120545695,0,0,0,0,0,0,0,0,0
202012,04,249000,007,0252,53700 ,00000 ,15301 ,999,99999, , ,855414306  ,4,8,12,Payson town,74,74,24792590,0,0,0,0,0,0,2,16,1482734,74,74,24792590,0,0,0,0,0,0,2,16,1482734
202012,04,253000,013,0255,54050 ,00000 ,154058 ,429,38060,2, ,85345      ,4,8,12,Peoria,1474,1474,238362618,40,80,3323754,0,0,0,0,0,0,1474,1474,238362618,40,80,3323754,0,0,0,0,0,0
202012,04,257000,013,2650,55000 ,00000 ,1445632 ,429,38060, ,1,850031611  ,4,8,12,Phoenix,4666,4666,1070609138,173,346,40338030,13,46,5338843,175,6589,857774258,4666,4666,1070609138,173,346,40338030,13,46,5338843,175,6589,857774258
202012,04,261000,019,    ,99990 ,00000 ,353264 ,536,46060, , ,85701      ,4,8,12,Pima County Unincorporated Area,1317,1317,422531554,2,4,1122886,0,0,0,0,0,0,1317,1317,422531554,2,4,1122886,0,0,0,0,0,0
202012,04,269000,021,    ,99990 ,00000 ,187517 ,429,38060,2, ,85132      ,4,8,12,Pinal County Unincorporated Area,2376,2376,396182412,1,2,147442,0,0,0,0,0,0,2376,2376,396182412,1,2,147442,0,0,0,0,0,0
202012,04,277000,025,0280,57380 ,00000 ,39843 ,999,39150, ,1,86301      ,4,8,12,Prescott,387,387,123189653,0,0,0,3,12,1392783,3,22,2045124,387,387,123189653,0,0,0,3,12,1392783,3,22,2045124
202012,04,281000,025,0282,57450 ,00000 ,38822 ,999,39150, ,1,863142275  ,4,8,12,Prescott Valley town,515,515,136301901,59,118,15289540,0,0,0,0,0,0,515,515,136301901,59,118,15289540,0,0,0,0,0,0
202012,04,289000,013,0284,58150 ,00000 ,25912 ,429,38060,2, ,852429311  ,4,8,12,Queen Creek town,1985,1985,743370163,8,16,1847171,0,0,0,0,0,0,1985,1985,743370163,8,16,1847171,0,0,0,0,0,0
202012,04,293000,009,0298,62000 ,00000 ,9566 ,999,99999, , ,85548      ,4,8,12,Safford,62,62,7791700,2,4,204185,0,0,0,0,0,0,62,62,7791700,2,4,204185,0,0,0,0,0,0
