@type|@id|name|name:en|place|wikidata|@lat|@lon
way|15753839|Liesnoi Island||islet||56.8122197|-135.4828567
way|15753847|Bell Island||islet||57.9918259|-135.7709201
way|15753895|Channel Island||islet||57.5765589|-135.9522319
way|15753950|Leo Island||islet||57.6338404|-136.0954460
way|15753959|Kliuchevoi Island||islet||56.8348294|-135.3817978
way|15753962|Grace Island||islet|Q49639434|57.7829197|-136.3205617
way|15753980|Heidi Rock||islet||57.8853655|-135.0230394
way|15754048|Steep Island||islet||57.6735848|-136.1557586
way|15754101|Urilof Island||islet||56.7872295|-135.4717789
way|15754196|Sholin Island||islet||57.7257716|-136.2489840
way|15754206|Bilai Rock||islet||56.7118587|-135.3432694
way|15754259|Cormorant Island||islet||57.7782843|-136.3214772
way|15754261|Rapids Island||island||57.4032268|-135.6311111
way|15754296|Black Island||islet||57.6019432|-136.2210275
way|15754326|West Redcliff Island||islet||57.8979488|-135.1099638
way|15754341|East Redcliff Island||islet||57.8926711|-135.0951503
way|15754378|Gornoi Island||island||56.7857934|-135.3575515
way|15754390|Mindalina Island||islet||57.8731523|-136.4876800
way|15754396|Kolash Island||islet||56.8410759|-135.3899842
way|15754419|Shale Island||islet||57.6093281|-136.1296850
way|15754424|Fragrant Island||islet||56.8416366|-135.4195404
way|15754426|Maid Island||islet||56.8349762|-135.4671173
way|20285321|Bingham Cove||islet||58.0678865|-136.5607501
way|20285364|Grassy Rock||islet||58.0476065|-135.5646549
way|20285432|Kochu Island||islet||59.1451457|-135.3973117
way|20285627|Neka Island||islet||58.0342943|-135.6387602
way|20285765|Three Hill Island||island||58.1668585|-136.3982999
way|20285770|South Marble Island||island||58.6434345|-136.0473853
way|20285783|Long Island||island||58.0964489|-135.4685062
way|20285794|Cenotaph Island||island||58.6386878|-137.5832034
way|20285916|Flapjack Island||island||58.5862913|-135.9808516
way|20286111|Bingham Cove||islet||58.0707589|-136.5571529
way|20286130|Geikie Rock||islet||58.6934823|-136.3127375
way|20286141|Harry Island||islet||58.2163992|-135.5982551
way|20286228|Hoonah Island||islet||58.1865737|-135.4950196
way|20286250|Chimney Rock||islet||58.0233600|-135.6131596
way|20286270|Garforth Island||island||58.7884154|-136.0746498
way|20286271|Rocky Island||islet||58.1773164|-135.0516593
way|20286431|Miner Island||islet||58.0094992|-136.3395779
way|20286453|Sturgess Island||islet||58.7232447|-136.0518390
way|20286513|Scraggy Island||islet||58.1751236|-135.4740332
way|20286516|Lone Island||island||58.7217661|-136.2954104
way|20286544|Link Island||island||58.5514787|-135.9039259
way|20286576|Puffin Island||islet||58.7273041|-136.0032285
way|20286578|Secret Bay Island||island||58.4896835|-135.9266764
way|20286588|Russell Island||island|Q49675980|58.9268735|-136.8252379
way|20286850|Pitt Island||island||58.1086262|-135.4537516
way|20286853|Tasman Island||islet||59.0758089|-135.2752698
way|20286973|George Island||island||58.1992168|-136.3972943
way|20287070|Spasski Island||islet||58.1319483|-135.2718473
way|20287179|Netland Island||island||58.5369426|-136.1443054
way|20287197|Mite Island||islet||58.0734910|-136.4417049
way|20287383|Pyramid Island||islet||59.1971501|-135.4564583
way|20287518|Pulizza Island||island||58.1036338|-135.2915132
way|20287584|Halibut Island||islet||58.1507535|-135.4948580
way|20287672|North Inian Island||island||58.2632971|-136.3899100
way|20287748|Spider Island||island||58.5204710|-135.9201874
way|20287812|Lemesurier Island||island|Q3814688|58.2884568|-136.0962043
way|20287819|Boulder Island||island||58.5592891|-136.0195994
way|20287909|Ralston Island||islet||58.5281318|-135.0361401
way|20287918|North Marble Island||islet||58.6707649|-136.0635965
way|20287988|Ansley Island||island||58.2075098|-135.1227004
way|20288028|Yakobi Rock||islet||58.0860930|-136.5624812
way|20288042|Entrance Island||islet||58.1958896|-135.1014588
way|20288074|Kidney Island||island||58.5327391|-135.8893668
way|20288121|Shaw Island||island||58.2000398|-136.2420230
way|20296842|Gregson Island||islet||59.5927008|-139.6597632
way|20296862|Kriwoi Island||islet||59.6384697|-139.6571877
way|20296990|Fitzgerald Island||islet||59.5976708|-139.6586054
way|20297094|Round Island||islet||59.5670263|-139.7459444
way|20297163|Kriwoi Island||island||59.6248789|-139.6581514
way|20297208|Tla-Xagh Island||island||59.7011112|-139.5076838
way|20297475|Haenke Island||island||59.9671048|-139.5400588
way|20297479|Dolgoi Island||island||59.6045430|-139.6900258
way|20297700|Knight Island||island||59.7215542|-139.5573706
way|20297773|Krutoi Island||islet||59.6679805|-139.6473682
way|20298210|Neeg Island||islet||59.7253822|-139.5201407
way|20298255|Blacksand Island||island||59.4195757|-139.4960395
way|20302847|Fish Island||islet||59.8811712|-147.3431359
way|20302862|Verdant Island||islet||59.7125891|-149.7342858
way|20302864|Granite Island||island||59.6420631|-149.8027388
way|20302933|Squab Island||islet||59.9340956|-149.7147951
way|20302936|Beehive Island||islet||59.6177406|-149.6139286
way|20320594|Chugachik Island||islet||59.7452190|-151.0450528
way|20320897|Hog Island||islet|Q18153038|58.0034447|-152.6894353
way|20320938|Pedersen Island||islet||59.7251295|-151.0362793
way|20320941|Marmot Island||island||58.2164229|-151.8425989
way|20320973|Grassy Island||islet||58.4486493|-152.7845171
way|20321820|Passage Island||island||59.3695525|-151.8843615
way|20321829|Cohen Island||islet||59.5405201|-151.4739447
way|20322008|Beautiful Isle||islet||59.5099608|-150.5603796
way|20322033|Hesketh Island||island||59.5069270|-151.5157729
way|20322466|Lamb Island||island||58.0423751|-152.6980546
way|20322922|Gull Island||islet||58.5994287|-152.6418543
way|20323016|Iniskin Island||islet||59.6244015|-153.4264943
way|20323196|Cronin Island||island||59.4790598|-151.5202222
way|20323285|Vert Island||islet||59.6314081|-153.4415397
way|20323358|Grass Island||islet||59.4988994|-151.4940563
way|20346889|Takli Island||island||58.0592592|-154.4885713
way|20348498|Reindeer Island||island||59.4466263|-154.5958490
way|20348673|Hat Island||islet||59.7771447|-154.3235350
way|20467546|Summit Island||island||58.8376071|-160.2080655
way|20467609|Kwigluk Island||island||59.6950805|-163.9787246
way|20485127|Whaleback Island||islet||60.1309357|-143.4097365
way|20485386|Kanak Island||island||60.1220119|-144.3777634
way|20485753|Spike Island||islet||60.5490283|-145.7724011
way|20486587|Wingham Island||island||60.0195746|-144.3819812
way|20487047|Anderson Island||island||60.6816468|-145.9653389
way|20487484|North Island||islet||60.6229433|-145.7265401
way|20487488|Pointed Island||islet||60.1222401|-143.4280868
way|20488142|Round Island||island||60.4441616|-145.0643862
way|20489106|Egg Island||island||60.3793070|-145.8679452
way|20517410|Egg Island||islet||60.7738672|-147.9628560
way|20518131|Ingot Island||island||60.5126255|-147.6322180
way|20518414|East Flank Island||islet||60.8204110|-147.8746300
way|20518512|Axel Lind Island||island||60.7925925|-147.7238245
way|20518557|Storey Island||island||60.7299400|-147.4341485
way|20518571|Little Axel Lind Island||islet||60.8080343|-147.6679401
way|20519200|Busby Island||island||60.8919944|-146.7939301
way|20519807|Disk Island||island||60.4947955|-147.6516580
way|20519814|Reef Island||island||60.8494606|-146.8302688
way|20519830|Ammunition Island||islet||61.1245176|-146.3076204
way|20520285|Goose Island||island||60.7189492|-146.7251942
way|20520336|Peak Island||island|Q49668394|60.6983475|-147.3876690
way|20520572|Aguliak Island||island||60.3660500|-147.8753900
way|20538408|Fire Island||island||61.1494519|-150.2222956
way|20538867|Frying Pan Island||islet||60.4297156|-150.4402736
way|20539438|Caribou Island||islet||60.4139021|-150.4211658
way|20547319|Pearl Island||island||61.9405162|-160.7424050
way|20603059|Ptarmigan Island||islet||60.7304213|-164.1421044
way|20606286|Olor Island||island||60.8355791|-164.0974241
way|20708680|Eider Duck Island||islet||63.4719324|-161.4969614
way|20709798|Alice Island||island||63.3057156|-159.6526649
way|20709848|Blackburn Island||island||63.3921342|-159.4905413
way|20711688|Elkhorn Island||island||62.5434830|-160.1880273
way|20725158|о. Скрытый||islet||66.1307104|-179.6683180
way|20735213|Channel Island||island||63.4558432|-162.0470524
way|20735366|Whale Island||island||63.4920521|-162.0054604
way|20735592|Nunaktuk Island||island||63.0458450|-164.5847816
way|20736089|Beulah Island||islet||63.4985563|-162.0126292
way|20739301|остров Идлидля|Idlidlya Island|islet|Q2601671|67.0481997|-172.7747726
way|20747781|Little Diomede Island|Little Diomede Island|island|Q1224996|65.7546497|-168.9253172
way|20748310|South Punuk Island||islet||63.0688988|-168.8365060
way|20748520|North Punuk Island||islet||63.0808625|-168.8093030
way|20748782|Sledge Island||island||64.4847084|-166.2107107
way|20754099|Kaluchagun Island||island||62.7092422|-164.8564240
way|20754493|Munson Island||island||62.5535445|-164.9253979
way|20755173|Kawokhawik Island||island||62.7801585|-164.8168555
way|20758515|Flat Island||island||62.6104399|-164.9885485
way|20772718|оостров Эрдмана||islet||64.5576585|-173.3004226
way|20772804|Нунэанган|Nuneangan|islet|Q13668096|64.6125983|-172.3382479
way|20773010|остров Аракамчечен|Arakamchechen Island|island|Q625409|64.7572349|-172.3600120
way|20774070|остров Итыгран|Yttygran Island|island|Q1098482|64.6223825|-172.5900006
way|20774789|остров Кынкай||islet||64.6733814|-172.7295158
way|20775032|Ипир||island||65.4846661|-172.2302413
way|20812857|остров Балка||islet||65.7715743|-171.3695834
way|20812873|остров Беннета||islet||65.7505786|-171.2941503
way|20813120|остров Колючин|Kolyuchin|island|Q2155977|67.4648054|-174.6184802
way|21013575|Challenge Island||island||70.2313280|-146.6090512
way|21013807|Cross Island||island||70.4814571|-147.9665628
way|21013951|North Star Island||island||70.2248385|-146.3596650
